level,line_quantity,width,height,score
cccbcbbbcccaaaaa,3,4,4,594
cccccaaacabbcccb,3,4,4,594
aaaabbcabccbbbbb,3,4,4,594
abbcaabcbbbccccc,3,4,4,594
aaaaaccabcaabbbb,3,4,4,594
cccccbbcccbaaaaa,3,4,4,594
bbaabccabbcaaaaa,3,4,4,594
aaaabbcabccabbaa,3,4,4,594
aaaaacbbbccbbbbb,3,4,4,594
bbbbbaccbaacbbcc,3,4,4,594
aaccabbcabccaaaa,3,4,4,594
aaaaccbbcddbccdbbbbb,4,5,4,814
aaabbbabbaabbbbb,2,4,4,891
aaaaabbaabaaabbb,2,4,4,891
bbbbbaabbbabaaab,2,4,4,891
bbbbbaaabbbaaaaa,2,4,4,891
abbbabaaabbaaaaa,2,4,4,891
aaaabbbabaaabbbb,2,4,4,891
aaaeeadaaebddaebbaafcccff,6,5,5,991
aacccaeeeebeddebeedfbbfff,6,5,5,991
ccceecbddecbbdeccddfaaaff,6,5,5,991
aacccaddffadeefbddedbbddd,6,5,5,991
aacccaddecadeedbddddbbfff,6,5,5,991
aadddaddcdbdccfbddffbbeee,6,5,5,991
aacccaddecbdeedbddddbbfff,6,5,5,991
cccccbbcccbcabbcaacc,3,5,4,1086
cccccbbcccbcabbaaaaa,3,5,4,1086
abbcabccabaaabbaaaaa,3,5,4,1086
cccccbbcccbcaabcaccc,3,5,4,1086
bbaabccabbcaaccaaaaa,3,5,4,1086
aaaaabbaabaaabbcaacc,3,5,4,1086
aabbaccbacbbaccaaaaa,3,5,4,1086
aaaaaccaacaabccbbbbb,3,5,4,1086
acccacbbaccbaaabbbbb,3,5,4,1086
aaaaabbaccbacbbaccaa,3,5,4,1086
cccccaaacccaaaaabbbb,3,5,4,1086
aaaaaccaacbbbccbbbbb,3,5,4,1086
aaaaaccabcaabccbbbbb,3,5,4,1086
aaccabbcccbccbbccccc,3,5,4,1086
aabbaccbacaaaccaaaaa,3,5,4,1086
cccccaaacbbaccbaaaaa,3,5,4,1086
aaaaabbaccbccbbccccc,3,5,4,1086
aaaabccabbcacccacaaa,3,5,4,1086
cccccbbcccbaabbaaaaa,3,5,4,1086
bbbcbcccbbbbaaabbbbb,3,5,4,1086
aaaaabbaabccabbcaacc,3,5,4,1086
aaaabbbabccabcaabccc,3,5,4,1086
aaaaabbaccbacbbccccc,3,5,4,1086
aaaaaccabcbbbccbbbbb,3,5,4,1086
aacccaeeecbeddcbeedebbeee,5,5,5,1190
aadddaddeeadccebddcebbeee,5,5,5,1190
aaaddacaadbccaebbaaeaaaee,5,5,5,1190
ccccccbddccbbdeccddeaaaee,5,5,5,1190
aaaaabbccabddcacdccecccee,5,5,5,1190
aabbbacceeacddeaccdcaaccc,5,5,5,1190
aacccaeeecaeddcbeedebbeee,5,5,5,1190
aaaaaadbbabddbebbbbecccee,5,5,5,1190
aacccaddbbbdeebbddebbbbbb,5,5,5,1190
aaaddacaadbccadbbaaeaaaee,5,5,5,1190
aadddaddcdbdccebdddebbbee,5,5,5,1190
aaaeebbccebddcecdccecccee,5,5,5,1190
aaaddaeeedbeccdbeecebbeee,5,5,5,1190
aaaaaacceebcddebccdcbbccc,5,5,5,1190
aaeeeaeeddbeccdbeecebbeee,5,5,5,1190
aaeeeaeeceaeccdbeeedbbddd,5,5,5,1190
aaaddaeeedaeccdbeecebbeee,5,5,5,1190
bbbbbaabbbaddddddcccdddc,4,6,4,1332
bbccbddcbdccbddbbbbbaaaa,4,6,4,1332
aaabbadddbbdccbbddcbbbbbb,4,5,5,1487
aabbbaccdbbcddbbcccbbbbbb,4,5,5,1487
aaaddacccdacbbdaccbdaaddd,4,5,5,1487
aaaaaadddaadccabddcabbaaa,4,5,5,1487
aaaaaadddaadccabddcbbbbbb,4,5,5,1487
aaaaaacddabccdbbdddbbbbbb,4,5,5,1487
aadddabbbdaccbaacbbaaaaaa,4,5,5,1487
ccccccbddccbbdaccddaaaaaa,4,5,5,1487
aaaaaaccbbacddbbccdbbbbbb,4,5,5,1487
aaaddacaadbccadbaaadbbbdd,4,5,5,1487
aaaaaadbbabddbabbbbacccaa,4,5,5,1487
cccddcabbdcaabdcbbbdccddd,4,5,5,1487
aaaaaaccbbbcddbbccdbbbbbb,4,5,5,1487
aabbbadddbadccbaddcbaabbb,4,5,5,1487
ddddddaaaadbbbbdcccbdddbb,4,5,5,1487
aaaaaadddabdccabddcdbbddd,4,5,5,1487
aabbbaccaaacddaaccdaaaaaa,4,5,5,1487
aadddaddcdbdccbbdddbbbbbb,4,5,5,1487
aaaaaaccdabcddbbcccbbbbbb,4,5,5,1487
ccccccaaaccbbadcbaadcccdd,4,5,5,1487
aadddabbbdaccbdbcbbdbbbdd,4,5,5,1487
aaaaaaddddbdccdbddcbbbbbb,4,5,5,1487
aacccaccbcacbbdaccddaaaaa,4,5,5,1487
cccddcaaadcbbaccbaacccccc,4,5,5,1487
aabbbadddbadccbbddcbbbbbb,4,5,5,1487
aadddaddccadbbcaddbdaaddd,4,5,5,1487
aaaaaacccaaddcabdccabbbaa,4,5,5,1487
aaaaaacccaaddcabdccbbbbbb,4,5,5,1487
aabbbaddddadccdaddcaaaaaa,4,5,5,1487
aaaaabbddabccdabcddabbbaa,4,5,5,1487
ccccccabbccaabccbbbdcccdd,4,5,5,1487
aabbbaccdbacddaacccaaaaaa,4,5,5,1487
aadddabbbdaccbdacbbdaaadd,4,5,5,1487
aaabbacccbaddcbbdccbbbbbb,4,5,5,1487
aaabbadddbadccbbddcbbbbbb,4,5,5,1487
