puzzle,solution,difficulty,difficulty_level
000001058020600000000200061290010700417000002035020049700503020050800000860004000,376941258129685374584237961298416735417359682635728149741593826953862417862174593,51,Hard
316785420000000060000031000001802634000400080800060092967040053000206740248000900,316785429785924361429631875591872634632419587874563192967148253153296748248357916,44,Easy
020863094496705802083020016800600007040507000079102465065301200214970053000000900,127863594496715832583429716851694327642537189379182465965341278214978653738256941,37,Very Easy
100007006957031000036084901720000000405063709003079000001300460000040052640008097,184927536957631824236584971729815643415263789863479215571392468398746152642158397,44,Easy
041005906005009000890000504009700402000350007010004000050630020030008000000090000,341275986675849213892163574569781432428356197713924658954637821236518749187492365,54,Expert
015000300249080050376400000000000000000000703430900200021046085004529030050010460,815692374249783651376451829167234598592168743438975216721346985684529137953817462,48,Medium
040000900810604030000005184050030010691500000028006059003050000079012300200700090,547381926812694537936275184754938612691527843328146759163459278479812365285763491,48,Medium
290030004370149250000000309709603400000004010043800702067302041000450906000060037,298536174376149258154278369719623485582794613643815792967382541831457926425961837,43,Easy
070005980001004500520080014100500020302068040000200830405012000083090001006400208,674125983831974562529386714148539627352768149967241835495812376283697451716453298,46,Medium
200700800038609007090203004750008002910060700002000900081075006500806300600024008,265741893438659127197283654756198432913462785842537961381975246524816379679324518,46,Medium
308000005000040000000000094207000000090006200004010070000578901500002060789003000,348927615971645328652831794267354189195786243834219576426578931513492867789163452,55,Expert
020683000040051000600000315093007060000000400010200007186000020000802001430000000,521683974349751286678924315293547168765318492814269537186495723957832641432176859,53,Hard
000501003010306809600009057501800070060003410240000008000000620000008004906200000,498571263715326849623489157531842976867953412249167538384795621152638794976214385,51,Hard
100758000590013400083609100050307280809500000070000000068002530000106007300805092,146758923597213468283649175451367289839524716672981354768492531925136847314875692,45,Easy
000590702020060098580172000000039200000200030932640000210086040308410006090000801,463598712721364598589172463156839274847251639932647185215986347378415926694723851,45,Easy
372006050010000800400003900500070200200300600009000004607040305043090006805000002,372986451916754823458123967561479238284315679739268514627841395143592786895637142,51,Hard
800416003040002050010070804000000010200080000000634908035000062100207340000100500,859416273347892651612375894483529716296781435571634928735948162168257349924163587,50,Hard
000090020043010007100637059034050206001026805006780910000000708005000300360900542,657894123943512687182637459834159276791426835526783914219345768475268391368971542,44,Easy
060200500008050030005307900800600040021090000000020650700002000506003000080010004,163249587978156432245387916857631249621594873439728651714862395596473128382915764,54,Expert
100725090000009000000000610012500700000010005300087100590678340027340950436002000,163725498784169523259834617612593784978416235345287169591678342827341956436952871,46,Medium
008730000365902100402600309004026500036854001020000800107509203003080796689070400,918735642365942178472618359894126537736854921521397864147569283253481796689273415,39,Very Easy
003219007800657031001000060180904000490005310502060000368040095920070000015098420,653219847849657231271483569187934652496725318532861974368142795924576183715398426,41,Very Easy
700930062060700400920000100006400000200009346394060005000000709830000014000607003,748931562163752498925846137576423981281579346394168275612384759837295614459617823,49,Medium
010326750539170040702904310240589600603010820150203900000030190000042583000700060,814326759539178246762954318247589631693417825158263974426835197971642583385791462,37,Very Easy
200509000000000007090701006017900800800300005000080062106290300000400000524000000,278569431461823597395741286617952843842376915953184762186297354739415628524638179,54,Expert
000700016370006000106500407087300241501002800264809700700631098803007600090080103,459728316378146952126593487987365241531472869264819735742631598813957624695284173,40,Very Easy
103900000870200000400007300000098030090000106004370200732006950510000020048000001,123964578875213649469857312251698437397425186684371295732186954516749823948532761,50,Hard
